session,session,time,scenario
1550579694048-0.5rz5prqi8n,1550579694048-0.5rz5prqi8n,2019-02-19 12:34:54.048,juxtaposed-animated
1550579694188-0.lkyw7r667h,1550579694188-0.lkyw7r667h,2019-02-19 12:34:54.188,juxtaposed-animated
1550579694356-0.js751b7lf9f,1550579694356-0.js751b7lf9f,2019-02-19 12:34:54.356,juxtaposed-animated
1550579780272-0.at7ztoim5oq,1550579780272-0.at7ztoim5oq,2019-02-19 12:36:20.272,juxtaposed-animated
1550579795470-0.5gvh411e1d2,1550579795470-0.5gvh411e1d2,2019-02-19 12:36:35.470,juxtaposed-animated
1550579795651-0.1me27m2662j,1550579795651-0.1me27m2662j,2019-02-19 12:36:35.651,juxtaposed-animated
1550579795843-0.yipt2k2j0y8,1550579795843-0.yipt2k2j0y8,2019-02-19 12:36:35.843,juxtaposed-animated
1550579796043-0.ogni3jprljq,1550579796043-0.ogni3jprljq,2019-02-19 12:36:36.043,juxtaposed-animated
1550579796239-0.2syxmamxlit,1550579796239-0.2syxmamxlit,2019-02-19 12:36:36.240,juxtaposed-animated
1550579796398-0.e6hig9vmxzk,1550579796398-0.e6hig9vmxzk,2019-02-19 12:36:36.398,juxtaposed-animated
1550579796571-0.lhfmaoqpa7r,1550579796571-0.lhfmaoqpa7r,2019-02-19 12:36:36.571,juxtaposed-animated
1550579796764-0.2ftknj4huym,1550579796764-0.2ftknj4huym,2019-02-19 12:36:36.765,juxtaposed-animated
1550579822363-0.o0hugpt9fxn,1550579822363-0.o0hugpt9fxn,2019-02-19 12:37:02.363,juxtaposed-animated
1550579829913-0.geud6t88m5g,1550579829913-0.geud6t88m5g,2019-02-19 12:37:09.913,juxtaposed-animated
1550579850298-0.bk78iheeno,1550579850298-0.bk78iheeno,2019-02-19 12:37:30.299,juxtaposed-animated
1550579908210-0.v4edgqzgzt,1550579908210-0.v4edgqzgzt,2019-02-19 12:38:28.210,juxtaposed-animated
1550579995269-0.sshav770nt,1550579995269-0.sshav770nt,2019-02-19 12:39:55.269,juxtaposed-animated
1550580031529-0.qzj2nowocms,1550580031529-0.qzj2nowocms,2019-02-19 12:40:31.529,juxtaposed-animated
1550580059630-0.0hah29ukn0w,1550580059630-0.0hah29ukn0w,2019-02-19 12:40:59.630,juxtaposed-animated
1550580092245-0.9w3epzjyguq,1550580092245-0.9w3epzjyguq,2019-02-19 12:41:32.245,juxtaposed-animated
1550580119648-0.e58bbwv7nw,1550580119648-0.e58bbwv7nw,2019-02-19 12:41:59.648,juxtaposed-animated
1550580648199-0.wpy1qwu3zj,1550580648199-0.wpy1qwu3zj,2019-02-19 12:50:48.199,juxtaposed-animated
1550580657480-0.8bzojbn8rv2,1550580657480-0.8bzojbn8rv2,2019-02-19 12:50:57.480,juxtaposed-animated
1550580688295-0.3eoq5xh77xr,1550580688295-0.3eoq5xh77xr,2019-02-19 12:51:28.296,juxtaposed-animated
1550580712799-0.t57a9cxzyio,1550580712799-0.t57a9cxzyio,2019-02-19 12:51:52.799,juxtaposed-animated
1550580720751-0.bdjitasxslk,1550580720751-0.bdjitasxslk,2019-02-19 12:52:00.751,juxtaposed-animated
1550580958644-0.d1jmrzuv73q,1550580958644-0.d1jmrzuv73q,2019-02-19 12:55:58.645,juxtaposed-animated
1550580959109-0.5erwzx4xvzd,1550580959109-0.5erwzx4xvzd,2019-02-19 12:55:59.109,juxtaposed-animated
1550580959757-0.52jc64sil9w,1550580959757-0.52jc64sil9w,2019-02-19 12:55:59.757,juxtaposed-animated
1550580961755-0.kb4m2snlp0l,1550580961755-0.kb4m2snlp0l,2019-02-19 12:56:01.755,juxtaposed-animated
