,time,user,session,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,resolution,graph,position,scenario,story,globalPosition,minTime,timeDelta
33586,1550579928468,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5042857142857143,juxtaposed-animated,demographics,,1550579909786,18.682
33587,1550579928470,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.765,juxtaposed-animated,demographics,,1550579909786,18.684
33588,1550579928481,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06941176470588235,juxtaposed-animated,demographics,0.06941176470588235,1550579909786,18.695
33589,1550579928485,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5057142857142857,juxtaposed-animated,demographics,,1550579909786,18.699
33590,1550579928488,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.77,juxtaposed-animated,demographics,,1550579909786,18.702
33591,1550579928499,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.0696078431372549,juxtaposed-animated,demographics,0.0696078431372549,1550579909786,18.713
33592,1550579928503,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5071428571428571,juxtaposed-animated,demographics,,1550579909786,18.717
33593,1550579928506,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.775,juxtaposed-animated,demographics,,1550579909786,18.72
33594,1550579928518,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06980392156862746,juxtaposed-animated,demographics,0.06980392156862746,1550579909786,18.732
33595,1550579928522,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5085714285714286,juxtaposed-animated,demographics,,1550579909786,18.736
33596,1550579928524,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.78,juxtaposed-animated,demographics,,1550579909786,18.738
33597,1550579928534,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.07009803921568628,juxtaposed-animated,demographics,0.07009803921568628,1550579909786,18.748
33598,1550579928539,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.5107142857142857,juxtaposed-animated,demographics,,1550579909786,18.753
33599,1550579928541,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7875,juxtaposed-animated,demographics,,1550579909786,18.755
